postcode,lat,lon
3591,-35.220,143.410
3594,-35.150,143.360
3595,-35.190,143.350
3596,-35.120,143.330
3597,-34.860,143.340
3599,-34.740,143.140
3607,-36.850,145.200
3608,-36.700,145.030
3610,-36.540,145.280
3612,-36.590,144.950
3614,-36.480,145.260
3616,-36.420,145.070
3617,-36.420,145.150
3618,-36.370,145.170
3619,-37.660,144.940
3620,-36.310,145.050
3621,-36.270,144.850
3622,-36.160,144.770
3623,-36.460,144.900
3624,-36.440,145.070
3629,-36.380,145.300
3630,-36.360,145.400
3631,-36.540,145.360
3632,-36.540,145.600
3633,-36.300,145.480
3634,-36.220,145.340
3635,-36.160,145.300
3636,-36.140,145.500
3637,-36.050,145.330
3638,-36.150,145.170
3639,-36.020,144.970
3640,-35.970,145.460
3641,-35.920,145.330
3643,-35.960,145.630
3644,-35.910,145.690
3646,-36.330,145.690
3647,-36.400,145.700
3649,-36.080,145.690
3658,-37.200,145.050
3659,-37.130,145.020
3660,-37.090,145.500
3661,-38.200,146.540
3662,0.000,0.000
3663,-36.940,145.160
3664,-36.890,145.230
3665,-36.820,145.360
3666,-36.710,145.640
3669,-36.700,145.770
3670,-36.590,145.860
3671,-36.390,145.420
3672,-36.550,145.990
3673,-36.430,145.890
3675,-36.270,146.130
3676,-36.340,146.340
